Lambda: 5.0	Ts: 0.0020	Simulation Time: 100.0

IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 
0.0117	3.0E-4	21.129	21.1293	3.0E-4	0.0	0.0015	0.0	1
0.0766	5.0E-4	21.1407	21.1413	5.0E-4	0.0	0.0029	0.0	1
0.1167	0.0013	21.2174	21.2188	0.0013	0.0	0.0069	0.0	1
0.0040	2.0E-4	21.3341	21.3344	2.0E-4	0.0	0.0014	0.0	1
0.1212	7.0E-4	21.3381	21.3388	7.0E-4	0.0	0.0036	0.0	1
0.2124	1.0E-4	21.4594	21.4595	1.0E-4	0.0	7.0E-4	0.0	1
0.0233	0.0041	21.6718	21.676	0.0041	0.0	0.0208	0.0	1
0.1478	0.0012	21.6952	21.6964	0.0012	0.0	0.0063	0.0	1
0.1827	1.0E-4	21.843	21.8432	1.0E-4	0.0	8.0E-4	0.0	1
0.5415	2.0E-4	22.0258	22.0261	2.0E-4	0.0	0.0014	0.0	1
0.5903	0.0045	22.5674	22.5719	0.0045	0.0	0.0225	0.0	1
0.049	0.0025	23.1577	23.1603	0.0025	0.0	0.0128	0.0	1
0.1182	0.0013	23.2067	23.2081	0.0013	0.0	0.0068	0.0	1
0.0819	1.0E-4	23.3249	23.3251	1.0E-4	0.0	7.0E-4	0.0	1
0.0752	0.0019	23.4068	23.4088	0.0019	0.0	0.0098	0.0	1
0.4469	0.0024	23.4821	23.4846	0.0024	0.0	0.0124	0.0	1
0.1271	0.0043	23.929	23.9334	0.0043	0.0	0.0216	0.0	1
0.3516	0.0056	24.0561	24.0618	0.0056	0.0	0.0283	0.0	1
0.018	0.0	24.4078	24.4078	0.0	0.0	0.0	0.0	1
0.1208	0.0022	24.4259	24.4281	0.0022	0.0	0.0112	0.0	1
0.3063	0.0012	24.5468	24.548	0.0012	0.0	0.0061	0.0	1
0.3077	9.0E-4	24.8531	24.8541	9.0E-4	0.0	0.0048	0.0	1
0.8491	6.0E-4	25.1608	25.1615	6.0E-4	0.0	0.0032	0.0	1
0.0702	0.0020	26.01	26.0121	0.0020	0.0	0.0103	0.0	1
0.5121	0.0035	26.0802	26.0838	0.0035	0.0	0.0177	0.0	1
0.0835	8.0E-4	26.5924	26.5933	8.0E-4	0.0	0.0042	0.0	1
0.0548	0.0036	26.676	26.6797	0.0036	0.0	0.0183	0.0	1
0.1357	0.0063	26.7309	26.7373	0.0063	0.0	0.0319	0.0	1
0.7109	7.0E-4	26.8666	26.8673	7.0E-4	0.0	0.0036	0.0	1
0.5401	6.0E-4	27.5775	27.5781	6.0E-4	0.0	0.0030	0.0	1
0.4604	0.0044	28.1177	28.1221	0.0044	0.0	0.022	0.0	1
0.4391	0.0012	28.5781	28.5793	0.0012	0.0	0.0060	0.0	1
0.6137	0.0027	29.0172	29.02	0.0027	0.0	0.0136	0.0	1
0.3121	0.0071	29.631	29.6382	0.0071	0.0	0.0358	0.0	1
0.0865	7.0E-4	29.9431	29.9439	7.0E-4	0.0	0.0038	0.0	1
0.132	4.0E-4	30.0297	30.0301	4.0E-4	0.0	0.0020	0.0	1
0.2186	3.0E-4	30.1618	30.1621	3.0E-4	0.0	0.0016	0.0	1
0.0892	0.0029	30.3804	30.3834	0.0029	0.0	0.0147	0.0	1
0.3477	0.0019	30.4697	30.4717	0.0019	0.0	0.0097	0.0	1
