Time 	Number in Queue
62.4		3107
62.5		3111
62.6		3121
62.7		3118
62.8		3119
62.9		3122
63.0		3124
63.1		3125
63.2		3135
63.3		3140
63.4		3146
63.5		3155
63.6		3149
63.7		3152
63.8		3161
63.9		3160
64.0		3162
64.1		3171
64.2		3171
64.3		3172
64.4		3173
64.5		3171
64.6		3177
64.7		3187
64.8		3190
64.9		3196
65.0		3192
65.1		3195
65.2		3197
65.3		3203
65.4		3213
65.5		3213
65.6		3219
65.7		3220
65.8		3218
65.9		3217
66.0		3224
66.1		3228
66.2		3226
66.3		3228
66.4		3237
66.5		3241
66.6		3243
66.7		3252
66.8		3257
66.9		3264
67.0		3268
67.1		3270
67.2		3275
67.3		3275
67.4		3285
67.5		3286
67.6		3290
67.7		3290
67.8		3294
67.9		3301
68.0		3304
68.1		3317
68.2		3317
68.3		3319
68.4		3321
68.5		3329
68.6		3330
68.7		3332
68.8		3339
68.9		3347
69.0		3352
69.1		3359
69.2		3370
69.3		3378
69.4		3385
69.5		3396
69.6		3401
69.7		3406
69.8		3410
69.9		3414
70.0		3420
70.1		3429
70.2		3433
70.3		3446
70.4		3451
70.5		3453
70.6		3463
70.7		3471
70.8		3475
70.9		3482
71.0		3488
71.1		3494
71.2		3497
71.3		3494
71.4		3498
71.5		3495
71.6		3500
71.7		3500
71.8		3503
71.9		3506
72.0		3516
72.1		3524
72.2		3530
72.3		3527
72.4		3529
72.5		3533
72.6		3533
72.7		3546
72.8		3546
72.9		3547
73.0		3561
73.1		3570
73.2		3584
73.3		3575
73.4		3567
73.5		3569
73.6		3574
73.7		3580
73.8		3583
73.9		3589
74.0		3590
74.1		3595
74.2		3600
74.3		3600
74.4		3606
74.5		3613
74.6		3624
74.7		3630
74.8		3636
74.9		3643
75.0		3647
75.1		3648
75.2		3651
75.3		3653
75.3999		3659
75.4999		3664
75.5999		3667
75.6999		3671
75.7999		3671
75.8999		3670
75.9999		3678
76.0999		3690
76.1999		3698
76.2999		3695
76.3999		3698
76.4999		3702
76.5999		3706
76.6999		3708
76.7999		3706
76.8999		3723
76.9999		3728
77.0999		3733
77.1999		3734
77.2999		3737
77.3999		3749
77.4999		3750
77.5999		3762
77.6999		3763
77.7999		3767
77.8999		3771
77.9999		3775
78.0999		3779
78.1999		3786
78.2999		3792
78.3999		3795
78.4999		3801
78.5999		3812
78.6999		3820
78.7999		3828
78.8999		3831
78.9999		3838
79.0999		3846
79.1999		3854
79.2999		3853
79.3999		3862
79.4999		3867
79.5999		3883
79.6999		3890
79.7999		3898
79.8999		3901
79.9999		3908
80.0999		3914
80.1999		3925
80.2999		3931
80.3999		3943
80.4999		3947
80.5999		3948
80.6999		3953
80.7999		3960
80.8999		3972
80.9999		3979
81.0999		3982
81.1999		3991
81.2999		3998
81.3999		4001
81.4999		4011
81.5999		4021
81.6999		4019
81.7999		4031
81.8999		4034
81.9999		4039
82.0999		4046
82.1999		4049
82.2999		4052
82.3999		4056
82.4999		4064
82.5999		4066
82.6999		4077
82.7999		4077
82.8999		4082
82.9999		4088
83.0999		4095
83.1999		4100
83.2999		4104
83.3999		4110
83.4999		4113
83.5999		4110
83.6999		4115
83.7999		4119
83.8999		4118
83.9999		4122
84.0999		4121
84.1999		4123
84.2999		4121
84.3999		4125
84.4999		4129
84.5999		4136
84.6999		4139
84.7999		4141
84.8999		4146
84.9999		4162
85.0999		4171
85.1999		4174
85.2999		4179
85.3999		4185
85.4999		4184
85.5999		4190
85.6999		4200
85.7999		4200
85.8999		4201
85.9999		4210
86.0999		4216
86.1999		4228
86.2999		4243
86.3999		4251
86.4999		4250
86.5999		4251
86.6999		4258
86.7999		4261
86.8999		4260
86.9999		4270
87.0999		4273
87.1999		4280
87.2999		4286
87.3999		4290
87.4999		4295
87.5999		4303
87.6999		4304
87.7999		4306
87.8999		4308
87.9999		4311
88.0999		4318
88.1999		4329
88.2999		4324
88.3999		4324
88.4999		4331
88.5999		4334
88.6999		4339
88.7999		4351
88.8999		4356
88.9999		4357
89.0999		4363
89.1999		4365
89.2999		4369
89.3999		4374
89.4999		4375
89.5999		4381
89.6999		4387
89.7999		4401
89.8999		4401
89.9999		4409
90.0999		4412
90.1999		4419
90.2999		4420
90.3999		4426
90.4999		4432
90.5999		4440
90.6999		4453
90.7999		4463
90.8999		4469
90.9999		4480
91.0999		4481
91.1999		4483
91.2999		4494
91.3999		4501
91.4999		4503
91.5999		4504
91.6999		4513
91.7999		4518
91.8999		4530
91.9999		4535
92.0999		4534
92.1999		4536
92.2999		4540
92.3999		4543
92.4999		4552
92.5999		4562
92.6999		4567
92.7999		4566
92.8999		4567
92.9999		4574
93.0999		4579
93.1999		4581
93.2999		4583
93.3999		4595
93.4999		4602
93.5999		4604
93.6999		4614
93.7999		4615
93.8999		4620
93.9999		4629
94.0999		4629
94.1999		4637
94.2999		4643
94.3999		4650
94.4999		4652
94.5999		4654
94.6999		4655
94.7999		4663
94.8999		4667
94.9999		4668
95.0999		4673
95.1999		4679
95.2999		4687
95.3999		4697
95.4999		4705
95.5999		4713
95.6999		4710
95.7999		4714
95.8999		4722
95.9999		4728
96.0999		4737
96.1999		4743
96.2999		4746
96.3999		4751
96.4999		4757
96.5999		4762
96.6999		4766
96.7999		4775
96.8999		4779
96.9999		4784
97.0999		4787
97.1999		4790
97.2999		4797
97.3999		4802
97.4999		4806
97.5999		4812
97.6999		4811
97.7999		4815
97.8999		4821
97.9999		4825
98.0999		4833
98.1999		4835
98.2999		4846
98.3999		4851
98.4999		4857
98.5999		4859
98.6999		4864
98.7999		4870
98.8999		4876
98.9999		4876
99.0999		4882
99.1999		4888
99.2999		4896
99.3999		4907
99.4999		4909
99.5999		4922
99.6999		4924
99.7999		4928
99.8999		4931
99.9999		4936
