Lambda: 100.0	Ts: 0.0085	Simulation Time: 100.0

IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 
0.0426	0.0166	1.7451	1.7653	0.0202	0.0035	2	0	2
0.0426	0.0092	1.7564	1.7745	0.0181	0.0089	1	0	1
0.0046	0.0038	1.799	1.8029	0.0038	0.0	0	0	1
0.02	0.0017	1.8036	1.8054	0.0017	0.0	0	0	1
0.0199	0.0043	1.8236	1.828	0.0043	0.0	0	0	1
0.0040	0.0024	1.8436	1.8461	0.0024	0.0	0	0	1
0.0531	0.0058	1.8477	1.8535	0.0058	0.0	0	0	1
0.0292	0.0143	1.9009	1.9152	0.0143	0.0	1	0	2
0.0292	0.0055	1.9025	1.9207	0.0182	0.0127	1	1	1
0.0206	3.0E-4	1.9318	1.9321	3.0E-4	0.0	0	0	1
0.0149	0.0013	1.9524	1.9538	0.0013	0.0	0	0	1
0.0055	0.0055	1.9674	1.9729	0.0055	0.0	0	0	2
0.0087	0.0020	1.9675	1.975	0.0074	0.0053	0	0	2
0.0139	0.0418	1.9731	2.0168	0.0437	0.0018	4	0	6
0.0165	0.0123	1.9818	2.0292	0.0473	0.035	4	3	6
0.0165	0.0045	1.9856	2.0337	0.0481	0.0435	4	4	5
0.0273	0.0056	1.9944	2.0393	0.0449	0.0393	4	3	6
0.0273	0.0148	1.9964	2.0542	0.0577	0.0429	5	4	5
0.0273	0.0053	2.0061	2.0595	0.0534	0.0481	5	4	4
0.0037	0.0059	2.02	2.0655	0.0455	0.0395	4	3	4
0.0093	0.0079	2.0366	2.0735	0.0369	0.0289	3	2	5
0.0093	0.0044	2.0373	2.0779	0.0406	0.0362	4	3	4
0.0147	0.0068	2.0646	2.0847	0.02	0.0132	2	1	5
0.0147	0.0054	2.0683	2.0901	0.0217	0.0163	2	1	4
0.0109	0.0247	2.0725	2.1148	0.0423	0.0175	4	1	5
0.0018	0.0035	2.0819	2.1184	0.0364	0.0329	3	3	5
0.0139	0.0086	2.0838	2.127	0.0432	0.0345	4	3	5
0.0209	0.0266	2.0985	2.1536	0.0551	0.0284	5	2	6
0.0313	0.0045	2.1057	2.1582	0.0524	0.0479	5	4	6
0.0313	0.02	2.1167	2.1783	0.0615	0.0415	6	4	5
0.0249	0.0093	2.1186	2.1876	0.069	0.0596	6	5	5
0.0249	0.022	2.1325	2.2096	0.0771	0.055	7	5	4
0.0086	0.0092	2.1334	2.2189	0.0854	0.0762	8	7	4
0.0235	0.0142	2.1543	2.2331	0.0787	0.0645	7	6	4
0.0235	0.0040	2.1857	2.2371	0.0514	0.0473	5	4	3
0.0034	0.0063	2.2107	2.2435	0.0327	0.0264	3	2	3
0.0084	0.0090	2.2194	2.2525	0.0331	0.0241	3	2	3
0.0156	0.0176	2.243	2.2702	0.0272	0.0095	2	0	5
0.0156	0.0067	2.2465	2.277	0.0305	0.0237	3	2	4
0.0156	3.0E-4	2.2549	2.2774	0.0224	0.022	2	2	3
0.0156	0.0055	2.2605	2.2829	0.0223	0.0168	2	1	2
0.0131	0.0052	2.268	2.2881	0.02	0.0148	2	1	3
0.0131	0.0060	2.2837	2.2941	0.0104	0.0044	1	0	2
0.0131	0.0044	2.2874	2.2986	0.0112	0.0067	1	0	1
0.0021	0.0036	2.3006	2.3043	0.0036	0.0	0	0	2
0.0323	0.0017	2.3022	2.306	0.0038	0.0020	0	0	2
0.0323	0.0092	2.3043	2.3153	0.0109	0.0016	1	0	1
0.0034	0.0014	2.3367	2.3382	0.0014	0.0	0	0	1
0.0046	0.0071	2.3401	2.3473	0.0071	0.0	0	0	3
0.0102	0.0095	2.3419	2.3569	0.015	0.0054	1	0	3
0.0036	0.0187	2.3465	2.3756	0.0291	0.0103	2	1	7
0.0046	0.0079	2.3511	2.3836	0.0324	0.0244	3	2	7
0.0308	0.0089	2.3614	2.3925	0.031	0.0221	3	2	7
0.0308	0.0175	2.3676	2.41	0.0424	0.0248	4	2	6
0.0308	0.0044	2.3697	2.4144	0.0447	0.0402	4	4	5
0.0162	0.0109	2.3733	2.4254	0.052	0.0411	5	4	5
0.0162	0.0047	2.3753	2.4301	0.0547	0.05	5	5	4
0.0046	0.0010	2.379	2.4312	0.0522	0.0511	5	5	4
0.0142	0.0051	2.3837	2.4363	0.0526	0.0475	5	4	4
0.0142	0.0054	2.4145	2.4418	0.0273	0.0218	2	2	3
0.019	0.0178	2.4307	2.4597	0.0289	0.0111	2	1	3
0.019	1.0E-4	2.4354	2.4598	0.0243	0.0242	2	2	2
0.019	0.0025	2.4497	2.4624	0.0126	0.0101	1	1	1
0.014	0.0106	2.4687	2.4794	0.0106	0.0	1	0	2
0.0077	0.0132	2.4743	2.4926	0.0183	0.0051	1	0	4
0.0077	0.0031	2.4883	2.4958	0.0074	0.0042	0	0	3
0.0317	0.0077	2.492	2.5035	0.0115	0.0037	1	0	3
