Lambda: 5.0	Ts: 0.15	Simulation Time: 1000.0

IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 
0.4417	0.3186	30.1673	30.7794	0.6121	0.2935	3	1	5
0.4417	0.0795	30.2661	30.859	0.5929	0.5133	2	2	4
0.4417	0.218	30.3333	31.077	0.7436	0.5256	3	2	3
0.4417	0.0463	30.5364	31.1234	0.587	0.5406	2	2	2
0.6105	0.2173	30.7087	31.3407	0.6319	0.4146	3	2	2
0.6105	0.0094	31.1505	31.3502	0.1997	0.1902	0	0	1
0.3341	0.016	31.761	31.777	0.016	0.0	0	0	1
0.2946	0.1344	32.0951	32.2296	0.1344	0.0	0	0	1
0.6161	0.4964	32.3898	32.8862	0.4964	0.0	2	0	1
0.379	0.1642	33.0059	33.1702	0.1642	0.0	0	0	3
0.379	0.0059	33.0449	33.1762	0.1312	0.1252	0	0	2
0.195	0.3874	33.0894	33.5636	0.4741	0.0867	2	0	4
0.0823	0.1877	33.4684	33.7514	0.2829	0.0951	1	0	4
0.1324	0.162	33.4724	33.9134	0.441	0.2789	2	1	5
0.1324	0.0742	33.5225	33.9877	0.4651	0.3909	2	1	4
0.4698	0.3752	33.7176	34.3629	0.6453	0.27	3	1	7
0.4698	0.0196	33.7999	34.3826	0.5827	0.563	2	2	6
0.4698	0.2718	33.8652	34.6544	0.7892	0.5174	3	2	5
0.3589	0.1328	33.9976	34.7873	0.7896	0.6567	3	3	5
0.3589	0.0075	34.0822	34.7948	0.7126	0.705	3	3	4
0.3589	0.0961	34.2193	34.891	0.6716	0.5755	3	2	3
0.3589	0.0436	34.2991	34.9347	0.6355	0.5919	3	2	2
0.3589	0.0362	34.7689	34.9709	0.2019	0.1657	1	0	1
0.2283	0.4752	35.1278	35.6031	0.4752	0.0	2	0	3
0.7319	0.2384	35.1565	35.8415	0.685	0.4466	3	2	3
0.7319	0.2819	35.5212	36.1234	0.6021	0.3202	3	1	2
0.0548	0.5293	35.7496	36.6528	0.9032	0.3738	4	1	4
0.194	0.1922	36.4815	36.8451	0.3635	0.1712	1	0	5
0.0281	0.0984	36.5759	36.9436	0.3676	0.2691	1	1	5
0.5441	0.2657	36.6234	37.2093	0.5859	0.3202	2	1	7
0.5441	0.0115	36.6782	37.2209	0.5426	0.531	2	2	6
0.5441	0.0624	36.7445	37.2833	0.5387	0.4763	2	2	5
0.5441	0.0070	36.9386	37.2904	0.3518	0.3447	1	1	4
0.5441	0.1487	36.9668	37.4391	0.4723	0.3236	2	1	3
0.5441	0.0342	36.99	37.4734	0.4833	0.4491	2	2	2
0.0758	0.2091	37.018	37.6825	0.6645	0.4554	3	2	4
0.0758	0.0279	37.5621	37.7104	0.1483	0.1204	0	0	3
0.129	0.0689	37.5953	37.7794	0.184	0.1151	0	0	4
0.263	0.1405	37.6724	37.9199	0.2475	0.107	1	0	4
0.263	0.0463	37.7482	37.9663	0.2181	0.1717	1	0	3
0.263	0.0311	37.7646	37.9975	0.2328	0.2017	1	1	2
1.0123	0.2371	37.8936	38.2346	0.341	0.1038	1	0	2
1.0123	0.2488	38.1566	38.4834	0.3268	0.0779	1	0	1
0.5388	0.2997	39.1689	39.4687	0.2997	0.0	1	0	2
0.5388	0.0095	39.273	39.4783	0.2052	0.1957	1	0	1
0.1261	0.1657	39.8118	39.9776	0.1657	0.0	0	0	3
0.1261	0.0232	39.8135	40.0008	0.1873	0.1641	0	0	2
0.1261	0.0339	39.9265	40.0348	0.1083	0.0743	0	0	1
0.6597	0.4079	40.0527	40.4607	0.4079	0.0	2	0	1
0.1573	0.0689	40.7124	40.7814	0.0689	0.0	0	0	1
0.2397	0.037	40.8698	40.9068	0.037	0.0	0	0	1
0.1	9.0E-4	41.1096	41.1106	9.0E-4	0.0	0	0	1
0.1286	0.1298	41.2097	41.3396	0.1298	0.0	0	0	2
0.2199	0.4766	41.3219	41.8162	0.4942	0.0176	2	0	4
0.2199	0.0922	41.4506	41.9084	0.4578	0.3656	2	1	3
0.0212	0.1959	41.5494	42.1044	0.555	0.359	2	1	4
0.0913	0.107	41.7644	42.2115	0.447	0.3399	2	1	5
0.0913	0.0138	41.9844	42.2253	0.2409	0.227	1	1	4
0.1007	0.1133	42.0915	42.3387	0.2471	0.1338	1	0	4
