Lambda: 100.0	Ts: 0.0085	Simulation Time: 100.0
IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 
0.0058	0.0105	1.8728	1.8834	0.0105	0.0	1	0	2
0.0067	0.0030	1.8798	1.8865	0.0066	0.0036	0	0	2
0.01	0.0111	1.8857	1.8976	0.0118	7.0E-4	1	0	3
0.0058	0.0075	1.8924	1.9051	0.0126	0.0051	1	0	3
0.0058	1.0E-4	1.8944	1.9052	0.0108	0.0107	1	1	2
0.0191	0.0072	1.9044	1.9125	0.0080	8.0E-4	0	0	3
0.0191	0.0017	1.9103	1.9142	0.0039	0.0021	0	0	2
0.0314	0.0347	1.9114	1.9489	0.0375	0.0028	3	0	5
0.0314	0.0135	1.9305	1.9624	0.0319	0.0183	3	1	4
0.0071	0.0131	1.9314	1.9756	0.0441	0.031	4	3	6
0.0073	0.0116	1.9335	1.9872	0.0537	0.0421	5	4	6
0.0184	0.0072	1.9359	1.9945	0.0585	0.0513	5	5	6
0.0184	0.0016	1.9673	1.9961	0.0287	0.0271	2	2	5
0.0184	0.0040	1.9712	2.0001	0.0289	0.0249	2	2	4
0.0184	0.0035	1.9743	2.0037	0.0294	0.0258	2	2	3
0.0030	0.0048	1.9814	2.0086	0.0272	0.0223	2	2	3
0.0032	0.0187	1.9888	2.0274	0.0386	0.0198	3	1	6
0.017	0.0126	2.0072	2.04	0.0328	0.0202	3	2	6
0.017	6.0E-4	2.0102	2.0406	0.0304	0.0298	3	2	5
0.017	0.0038	2.0237	2.0445	0.0207	0.0169	2	1	4
0.017	1.0E-4	2.0239	2.0447	0.0208	0.0206	2	2	3
0.017	8.0E-4	2.0259	2.0456	0.0196	0.0188	1	1	2
0.0171	0.0123	2.0291	2.0579	0.0288	0.0164	2	1	2
0.0171	7.0E-4	2.0462	2.0587	0.0124	0.0117	1	1	1
0.0137	0.0072	2.0633	2.0706	0.0072	0.0	0	0	2
0.012	0.0129	2.0638	2.0835	0.0196	0.0067	1	0	2
0.0448	0.0072	2.0776	2.0907	0.0131	0.0059	1	0	2
0.0448	0.0134	2.0896	2.1042	0.0145	0.0010	1	0	1
0.0020	0.0018	2.1344	2.1363	0.0018	0.0	0	0	1
0.0075	0.0011	2.1365	2.1376	0.0011	0.0	0	0	2
0.0075	0.0	2.137	2.1377	6.0E-4	6.0E-4	0	0	1
0.0106	0.0017	2.1445	2.1463	0.0017	0.0	0	0	1
0.0010	0.0367	2.1552	2.1919	0.0367	0.0	3	0	6
0.0633	0.0098	2.1648	2.2017	0.0369	0.027	3	2	6
0.0633	0.0098	2.1676	2.2116	0.0439	0.0341	4	3	5
0.0633	4.0E-4	2.1814	2.2121	0.0307	0.0302	3	3	4
0.0633	0.0075	2.1865	2.2197	0.0331	0.0256	3	2	3
0.0633	0.0072	2.1913	2.2269	0.0356	0.0283	3	2	2
0.0633	0.0027	2.1924	2.2297	0.0373	0.0345	3	3	1
0.0202	0.0395	2.2557	2.2952	0.0395	0.0	3	0	4
0.0202	0.0016	2.2562	2.2969	0.0406	0.039	4	3	3
0.0202	0.0027	2.2699	2.2996	0.0297	0.0269	2	2	2
0.0121	0.0042	2.2805	2.3039	0.0233	0.0191	2	1	2
0.0313	0.0157	2.3008	2.3196	0.0188	0.0031	1	0	4
0.0313	9.0E-4	2.3129	2.3206	0.0077	0.0067	0	0	3
0.0313	0.0052	2.316	2.3259	0.0098	0.0045	0	0	2
0.0313	0.0077	2.3175	2.3336	0.0161	0.0083	1	0	1
0.0067	0.0083	2.3488	2.3572	0.0083	0.0	0	0	3
1.0E-4	0.0078	2.3524	2.3651	0.0126	0.0047	1	0	5
0.0133	0.0039	2.3546	2.369	0.0144	0.0105	1	1	6
0.0133	0.0072	2.3613	2.3763	0.0149	0.0076	1	0	5
0.0315	0.0164	2.3635	2.3927	0.0291	0.0127	2	1	5
0.0392	0.0199	2.365	2.4126	0.0475	0.0276	4	2	6
0.0392	0.0028	2.3651	2.4155	0.0503	0.0474	5	4	5
0.0392	0.0226	2.3656	2.4381	0.0725	0.0499	7	4	4
0.0392	0.0104	2.3789	2.4486	0.0696	0.0591	6	5	3
0.0051	0.0060	2.4105	2.4546	0.0441	0.0381	4	3	4
0.022	0.0133	2.4125	2.468	0.0554	0.0421	5	4	4
0.022	0.0027	2.4517	2.4707	0.019	0.0162	1	1	3
0.022	0.0045	2.4532	2.4753	0.0221	0.0175	2	1	2
0.0193	0.0133	2.4583	2.4886	0.0303	0.017	3	1	3
0.0313	0.0234	2.4803	2.5121	0.0317	0.0083	3	0	4
0.0313	0.0024	2.4814	2.5146	0.0331	0.0306	3	3	3
0.0313	0.0082	2.5008	2.5228	0.022	0.0137	2	1	2
0.0313	0.0125	2.5074	2.5354	0.028	0.0154	2	1	1
0.0098	0.0213	2.5388	2.5601	0.0213	0.0	2	0	3
0.0098	0.0025	2.5471	2.5627	0.0156	0.013	1	1	2
0.0062	0.0095	2.5529	2.5722	0.0192	0.0097	1	0	6
0.0062	0.0020	2.5628	2.5743	0.0114	0.0094	1	0	5
0.011	0.0065	2.5653	2.5808	0.0155	0.0089	1	0	5
