Time 	Number in Queue
68.6		2
68.7		3
68.8		3
68.9		3
69.0		3
69.1		3
69.2		4
69.3		3
69.4		0
69.5		1
69.6		0
69.7		0
69.8		0
69.9		0
70.0		0
70.1		0
70.2		0
70.3		0
70.4		0
70.5		1
70.6		1
70.7		2
70.8		1
70.9		2
71.0		1
71.1		3
71.2		3
71.3		4
71.4		4
71.5		4
71.6		2
71.7		2
71.8		2
71.9		2
72.0		2
72.1		2
72.2		2
72.3		0
72.4		3
72.5		3
72.6		3
72.7		3
72.8		3
72.9		2
73.0		2
73.1		1
73.2		1
73.3		0
73.4		0
73.5		0
73.6		2
73.7		3
73.8		2
73.9		1
74.0		0
74.1		0
74.2		0
74.3		0
74.4		1
74.5		1
74.6		1
74.7		0
74.8		1
74.9		1
75.0		0
75.1		0
75.2		0
75.3		1
75.3999		1
75.4999		2
75.5999		3
75.6999		2
75.7999		3
75.8999		4
75.9999		4
76.0999		4
76.1999		6
76.2999		6
76.3999		6
76.4999		4
76.5999		1
76.6999		1
76.7999		2
76.8999		2
76.9999		2
77.0999		2
77.1999		1
77.2999		0
77.3999		0
77.4999		0
77.5999		0
77.6999		0
77.7999		0
77.8999		0
77.9999		0
78.0999		0
78.1999		0
78.2999		0
78.3999		0
78.4999		0
78.5999		1
78.6999		0
78.7999		0
78.8999		1
78.9999		1
79.0999		1
79.1999		4
79.2999		5
79.3999		6
79.4999		7
79.5999		6
79.6999		8
79.7999		8
79.8999		6
79.9999		5
80.0999		4
80.1999		4
80.2999		4
80.3999		4
80.4999		4
80.5999		2
80.6999		2
80.7999		2
80.8999		3
80.9999		3
81.0999		3
81.1999		3
81.2999		3
81.3999		3
81.4999		0
81.5999		0
81.6999		0
81.7999		1
81.8999		1
81.9999		1
82.0999		1
82.1999		0
82.2999		2
82.3999		1
82.4999		1
82.5999		0
82.6999		0
82.7999		0
82.8999		1
82.9999		4
83.0999		3
83.1999		2
83.2999		0
83.3999		0
83.4999		0
83.5999		1
83.6999		1
83.7999		1
83.8999		2
83.9999		1
84.0999		0
84.1999		0
84.2999		0
84.3999		0
84.4999		1
84.5999		1
84.6999		0
84.7999		1
84.8999		0
84.9999		2
85.0999		3
85.1999		3
85.2999		3
85.3999		3
85.4999		0
85.5999		0
85.6999		0
85.7999		0
85.8999		0
85.9999		0
86.0999		1
86.1999		2
86.2999		5
86.3999		3
86.4999		2
86.5999		2
86.6999		4
86.7999		4
86.8999		4
86.9999		5
87.0999		3
87.1999		2
87.2999		3
87.3999		2
87.4999		1
87.5999		0
87.6999		0
87.7999		0
87.8999		0
87.9999		0
88.0999		0
88.1999		1
88.2999		1
88.3999		3
88.4999		3
88.5999		3
88.6999		2
88.7999		1
88.8999		2
88.9999		3
89.0999		3
89.1999		3
89.2999		3
89.3999		4
89.4999		4
89.5999		3
89.6999		2
89.7999		2
89.8999		3
89.9999		4
90.0999		4
90.1999		7
90.2999		7
90.3999		7
90.4999		7
90.5999		7
90.6999		8
90.7999		8
90.8999		8
90.9999		9
91.0999		9
91.1999		9
91.2999		9
91.3999		8
91.4999		8
91.5999		8
91.6999		8
91.7999		9
91.8999		8
91.9999		8
92.0999		8
92.1999		10
92.2999		9
92.3999		9
92.4999		10
92.5999		11
92.6999		10
92.7999		10
92.8999		11
92.9999		9
93.0999		9
93.1999		8
93.2999		9
93.3999		9
93.4999		8
93.5999		9
93.6999		9
93.7999		9
93.8999		9
93.9999		10
94.0999		9
94.1999		7
94.2999		4
94.3999		5
94.4999		5
94.5999		3
94.6999		3
94.7999		6
94.8999		2
94.9999		4
95.0999		3
95.1999		4
95.2999		4
95.3999		6
95.4999		6
95.5999		6
95.6999		6
95.7999		5
95.8999		5
95.9999		5
96.0999		5
96.1999		5
96.2999		6
96.3999		5
96.4999		5
96.5999		6
96.6999		5
96.7999		4
96.8999		3
96.9999		4
97.0999		4
97.1999		4
97.2999		4
97.3999		5
97.4999		5
97.5999		5
97.6999		5
97.7999		3
97.8999		2
97.9999		1
98.0999		1
98.1999		0
98.2999		0
98.3999		0
98.4999		1
98.5999		2
98.6999		3
98.7999		3
98.8999		3
98.9999		3
99.0999		3
99.1999		5
99.2999		6
99.3999		4
99.4999		4
99.5999		4
99.6999		4
99.7999		2
99.8999		2
99.9999		1
100.0999		0
100.1999		0
100.2999		0
100.3999		0
100.4999		0
100.5999		0
100.6999		1
100.7999		2
100.8999		2
100.9999		4
101.0999		4
101.1999		2
101.2999		0
101.3999		0
101.4999		0
101.5999		0
101.6999		0
101.7999		0
101.8999		1
101.9999		1
102.0999		1
102.1999		1
102.2999		1
102.3999		1
102.4999		1
102.5999		1
102.6999		2
102.7999		2
102.8999		2
102.9999		3
103.0999		3
103.1999		2
103.2999		2
103.3999		2
103.4999		1
103.5999		1
103.6999		0
103.7999		0
103.8999		0
103.9999		0
104.0999		0
104.1999		0
104.2999		0
104.3999		1
104.4999		1
104.5999		0
104.6999		0
104.7999		2
104.8999		2
104.9999		3
105.0999		2
105.1999		2
105.2999		1
105.3999		1
105.4999		1
105.5999		1
105.6999		2
105.7999		3
105.8999		2
105.9999		1
106.0999		0
106.1999		0
106.2999		3
106.3999		2
106.4999		1
106.5999		0
106.6999		0
106.7999		0
106.8999		0
106.9999		0
107.0999		2
107.1999		1
107.2999		1
107.3999		1
107.4999		0
107.5999		2
107.6999		2
107.7999		3
107.8999		3
107.9999		3
108.0999		2
108.1999		3
108.2999		2
108.3999		2
108.4999		1
108.5999		2
108.6999		2
108.7999		1
108.8999		2
108.9999		4
109.0999		5
109.1999		5
109.2999		3
109.3999		4
109.4999		4
109.5999		4
109.6999		4
109.7999		4
109.8999		2
109.9999		2
110.0999		2
110.1999		2
110.2999		1
110.3999		0
110.4999		0
110.5999		0
110.6999		0
110.7999		0
110.8999		0
110.9999		0
111.0999		0
111.1999		1
111.2999		1
111.3999		1
111.4999		1
111.5999		0
111.6999		0
111.7999		1
111.8999		1
111.9999		0
112.0999		1
112.1999		1
112.2999		2
112.3999		2
112.4999		2
112.5999		2
112.6999		3
112.7999		3
112.8999		3
112.9999		3
113.0999		4
113.1999		4
113.2999		4
113.3999		4
113.4999		4
113.5999		4
113.6999		4
113.7999		5
113.8999		3
113.9999		5
114.0999		4
114.1999		5
114.2999		5
114.3999		4
114.4999		4
114.5999		3
114.6999		1
114.7999		0
114.8999		1
114.9999		1
115.0999		1
115.1999		1
115.2999		0
115.3999		0
115.4999		0
115.5999		0
115.6999		0
115.7999		1
115.8999		1
115.9999		0
116.0999		1
116.1999		2
116.2999		3
116.3999		4
116.4999		3
116.5999		1
116.6999		0
116.7999		1
116.8999		0
116.9999		2
117.0999		2
117.1999		2
117.2999		1
117.3999		1
117.4999		0
117.5999		0
117.6999		0
117.7999		0
117.8999		0
117.9999		0
118.0999		0
118.1999		0
118.2999		1
118.3999		1
118.4999		1
118.5999		2
118.6999		4
118.7999		3
118.8999		5
118.9999		5
119.0999		5
119.1999		4
119.2999		4
119.3999		4
119.4999		4
119.5999		5
119.6999		5
119.7999		5
119.8999		3
119.9999		4
120.0999		4
120.1999		4
120.2999		5
120.3999		6
120.4999		6
120.5999		6
120.6999		6
120.7999		5
120.8999		4
120.9999		4
121.0999		4
121.1999		5
121.2999		4
121.3999		3
121.4999		2
121.5999		2
121.6999		6
121.7999		5
121.8999		6
121.9999		7
122.0999		6
122.1999		6
122.2999		8
122.3999		6
122.4999		6
122.5999		6
122.6999		6
122.7999		7
122.8999		5
122.9999		2
123.0999		2
123.1999		3
123.2999		3
123.3999		2
123.4999		2
123.5999		4
123.6999		6
123.7999		2
123.8999		2
123.9999		3
124.0999		3
124.1999		3
124.2999		3
124.3999		2
124.4999		2
124.5999		1
124.6999		2
124.7999		2
124.8999		2
124.9999		2
125.0999		3
125.1999		2
125.2999		1
125.3999		1
125.4999		1
125.5999		3
125.6999		3
125.7999		3
125.8999		4
125.9999		3
126.0999		2
126.1999		1
126.2999		1
126.3999		3
126.4999		3
126.5999		2
126.6999		0
126.7999		1
126.8999		0
126.9999		0
127.0999		1
127.1999		0
127.2999		1
127.3999		2
127.4999		1
127.5999		1
127.6999		1
127.7999		1
127.8999		2
127.9999		4
128.0999		4
128.1999		4
128.2999		3
128.3999		3
128.4999		4
128.5999		4
128.6999		4
128.7999		2
128.8999		2
128.9999		3
129.0999		2
129.1999		1
129.2999		0
129.3999		0
129.4999		1
