Lambda: 100.0	Ts: 0.0085	Simulation Time: 100.0

IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 
0.0186	0.0049	2.5282	2.6066	0.0784	0.0735	7	7	8
0.0186	0.0053	2.5382	2.612	0.0737	0.0683	7	6	7
0.0186	0.0070	2.5395	2.619	0.0794	0.0724	7	7	6
0.0186	5.0E-4	2.5396	2.6195	0.0799	0.0793	7	7	5
0.0307	0.0232	2.5474	2.6428	0.0953	0.0721	9	7	7
0.0307	5.0E-4	2.5842	2.6433	0.0591	0.0585	5	5	6
0.0307	0.0031	2.6047	2.6465	0.0418	0.0386	4	3	5
0.0307	0.0075	2.6064	2.6541	0.0476	0.0401	4	4	4
0.0307	0.0083	2.625	2.6624	0.0373	0.029	3	2	3
0.0307	0.0015	2.6255	2.6639	0.0383	0.0368	3	3	2
0.0085	0.0070	2.6345	2.671	0.0365	0.0294	3	2	2
0.0671	0.0181	2.6653	2.6891	0.0238	0.0057	2	0	2
0.0671	0.0061	2.6738	2.6953	0.0214	0.0152	2	1	1
0.0035	0.0067	2.7409	2.7477	0.0067	0.0	0	0	2
0.0096	0.0032	2.7444	2.751	0.0065	0.0032	0	0	2
0.0096	0.0045	2.748	2.7555	0.0074	0.0029	0	0	1
0.0039	0.0034	2.7576	2.761	0.0034	0.0	0	0	2
0.0034	0.0077	2.7593	2.7688	0.0094	0.0016	0	0	3
0.0473	0.0037	2.7632	2.7726	0.0093	0.0055	0	0	3
0.0473	0.0041	2.7657	2.7768	0.011	0.0068	1	0	2
0.0282	0.0554	2.7692	2.8322	0.0629	0.0075	6	0	3
0.0282	5.0E-4	2.8165	2.8327	0.0162	0.0156	1	1	2
0.0282	0.0029	2.8169	2.8356	0.0187	0.0158	1	1	1
0.0054	0.0030	2.8451	2.8481	0.0030	0.0	0	0	1
0.0055	0.0018	2.8506	2.8525	0.0018	0.0	0	0	1
0.0093	0.0074	2.8562	2.8636	0.0074	0.0	0	0	1
0.0084	0.0019	2.8655	2.8674	0.0019	0.0	0	0	1
0.0134	0.0081	2.874	2.8822	0.0081	0.0	0	0	1
0.0399	0.0043	2.8875	2.8919	0.0043	0.0	0	0	1
0.0252	0.0213	2.9275	2.9488	0.0213	0.0	2	0	1
0.0441	0.0078	2.9527	2.9606	0.0078	0.0	0	0	4
0.0441	0.0174	2.9537	2.9781	0.0243	0.0069	2	0	3
0.0441	0.0045	2.954	2.9826	0.0286	0.024	2	2	2
0.0441	0.0159	2.9565	2.9986	0.042	0.0261	4	2	1
0.0067	0.0021	3.0007	3.0029	0.0021	0.0	0	0	1
0.0072	0.0064	3.0075	3.0139	0.0064	0.0	0	0	1
0.0028	3.0E-4	3.0147	3.015	3.0E-4	0.0	0	0	1
0.0024	0.0143	3.0176	3.0319	0.0143	0.0	1	0	4
0.0259	0.0229	3.0277	3.0548	0.0271	0.0042	2	0	4
0.0259	0.0022	3.0301	3.0571	0.0269	0.0247	2	2	3
0.0028	0.0056	3.0318	3.0627	0.0308	0.0252	3	2	3
0.0594	6.0E-4	3.0342	3.0633	0.0291	0.0284	2	2	3
0.0594	0.0061	3.0602	3.0694	0.0092	0.0031	0	0	2
0.0594	0.0068	3.0631	3.0763	0.0131	0.0063	1	0	1
0.0232	0.0116	3.1226	3.1343	0.0116	0.0	1	0	1
0.0109	6.0E-4	3.1459	3.1465	6.0E-4	0.0	0	0	1
0.017	1.0E-4	3.1568	3.157	1.0E-4	0.0	0	0	1
0.0082	0.0069	3.1739	3.1809	0.0069	0.0	0	0	1
0.0154	0.0145	3.1821	3.1967	0.0145	0.0	1	0	1
0.0075	0.0137	3.1976	3.2113	0.0137	0.0	1	0	4
0.0204	0.0251	3.2015	3.2364	0.0348	0.0097	3	0	6
0.0204	0.0033	3.2045	3.2398	0.0352	0.0318	3	3	5
9.0E-4	0.0153	3.2084	3.2551	0.0467	0.0314	4	3	6
0.0145	0.0081	3.2159	3.2633	0.0473	0.0392	4	3	7
0.019	0.0157	3.2248	3.2791	0.0542	0.0384	5	3	9
0.019	0.0048	3.2323	3.2839	0.0516	0.0467	5	4	8
0.019	0.0044	3.2528	3.2883	0.0355	0.0311	3	3	7
0.019	0.0013	3.2549	3.2897	0.0348	0.0334	3	3	6
0.019	0.0051	3.2559	3.2949	0.0389	0.0338	3	3	5
0.0115	0.0224	3.2593	3.3173	0.058	0.0355	5	3	7
0.0115	0.0045	3.2738	3.3219	0.048	0.0434	4	4	6
0.0069	0.0091	3.2749	3.3311	0.0561	0.047	5	4	8
0.0103	0.0112	3.2785	3.3424	0.0638	0.0525	6	5	8
0.0164	0.0294	3.2976	3.3718	0.0742	0.0448	7	4	10
0.0164	0.0074	3.3084	3.3793	0.0708	0.0634	7	6	9
0.0033	0.0035	3.3142	3.3829	0.0686	0.065	6	6	9
0.0135	0.014	3.3258	3.3969	0.0711	0.0571	7	5	9
0.0124	0.0109	3.3262	3.4079	0.0816	0.0706	8	7	10
0.0149	0.0184	3.3271	3.4263	0.0992	0.0808	9	8	12
0.0149	0.0034	3.334	3.4297	0.0957	0.0923	9	9	11
0.0044	0.0107	3.3444	3.4405	0.096	0.0853	9	8	11
0.0111	0.0118	3.3607	3.4523	0.0916	0.0797	9	7	13
0.0309	0.0107	3.364	3.4631	0.0991	0.0883	9	8	15
0.0309	0.011	3.3804	3.4742	0.0937	0.0827	9	8	14
0.0309	0.0055	3.3838	3.4797	0.0958	0.0903	9	9	13
0.0309	9.0E-4	3.3974	3.4806	0.0832	0.0823	8	8	12
0.0309	4.0E-4	3.403	3.481	0.078	0.0776	7	7	11
0.0394	0.0475	3.4154	3.5285	0.1131	0.0656	11	6	13
0.0394	0.0036	3.4206	3.5322	0.1116	0.1079	11	10	12
0.0394	6.0E-4	3.4238	3.5328	0.1089	0.1083	10	10	11
0.0033	0.0030	3.4387	3.5358	0.0971	0.094	9	9	11
0.0072	0.0034	3.4432	3.5393	0.096	0.0926	9	9	11
0.0072	0.0012	3.4471	3.5405	0.0933	0.0921	9	9	10
0.0072	0.0020	3.4475	3.5425	0.0949	0.0929	9	9	9
0.0102	0.012	3.4586	3.5545	0.0958	0.0838	9	8	10
0.0051	0.0018	3.4624	3.5563	0.0939	0.092	9	9	10
0.0182	0.0113	3.4627	3.5677	0.1049	0.0936	10	9	10
0.0031	0.0146	3.4937	3.5824	0.0886	0.074	8	7	10
0.041	0.0135	3.4949	3.5959	0.101	0.0874	10	8	10
0.041	0.0012	3.4956	3.5972	0.1015	0.1003	10	10	9
0.041	0.0014	3.5351	3.5987	0.0635	0.062	6	6	8
0.0194	0.0346	3.5384	3.6333	0.0949	0.0602	9	6	8
0.0096	0.0124	3.5456	3.6458	0.1001	0.0876	10	8	9
0.0195	0.0261	3.5458	3.6719	0.126	0.0999	12	9	9
0.0065	0.0058	3.5561	3.6777	0.1216	0.1157	12	11	9
0.0296	0.0182	3.5612	3.696	0.1347	0.1164	13	11	10
0.0296	0.0021	3.5795	3.6982	0.1186	0.1164	11	11	9
0.0296	0.012	3.5827	3.7102	0.1275	0.1155	12	11	8
0.0062	0.0022	3.6237	3.7125	0.0887	0.0865	8	8	9
0.057	0.0336	3.6431	3.7461	0.1029	0.0693	10	6	9
0.057	0.0011	3.6451	3.7472	0.1021	0.1009	10	10	8
0.057	0.0018	3.6548	3.7491	0.0943	0.0924	9	9	7
0.057	0.0087	3.6744	3.7578	0.0834	0.0747	8	7	6
0.057	0.0063	3.681	3.7641	0.0831	0.0768	8	7	5
0.057	1.0E-4	3.6814	3.7643	0.0828	0.0827	8	8	4
0.057	0.0088	3.7111	3.7732	0.0621	0.0532	6	5	3
